Date,Open,High,Low,Close,pivot-high,pivot-low
03-02-2025,585.7908854,593.3224355,583.6361958,590.8317261,,583.6361958
12-02-2025,592.2451836,597.5330628,591.5631899,596.3568726,,591.5631899
19-02-2025,602.9989604,606.1123628,602.4849766,605.8158569,606.1123628,
13-03-2025,552.0076609,552.6204598,543.29992,545.0197144,,543.29992
25-03-2025,570.3330467,571.4334488,568.7369614,570.4916992,571.4334488,
07-04-2025,484.9665622,518.6531752,477.6403495,500.0254211,,477.6403495
21-04-2025,516.660537,517.1959137,504.0702007,509.4434204,,504.0702007
19-05-2025,583.0225711,590.3983397,583.0225711,589.7142944,590.3983397,
23-05-2025,571.0071869,576.7868698,570.6304628,574.1101685,,570.6304628
11-06-2025,598.9736747,599.8361586,594.0961689,596.1680908,599.8361586,
23-06-2025,591.6465733,597.1152078,588.5145736,596.727478,,588.5145736
16-07-2025,620.182913,621.1672575,614.5253596,620.6601563,,614.5253596
31-07-2025,635.8132594,636.2009892,627.172815,628.4753418,636.2009892,
01-08-2025,622.7282753,622.768086,615.7582427,618.1743774,,615.7582427
13-08-2025,641.232186,642.5049155,639.0149226,641.2123413,642.5049155,
20-08-2025,635.7536294,636.0120957,629.3404006,634.4709473,,629.3404006
02-09-2025,633.8644906,636.8374296,631.2991867,636.6187134,,631.2991867
23-09-2025,664.7557114,665.3739408,660.0296859,661.2561035,665.3739408,
25-09-2025,656.0016058,657.4672457,652.4819765,656.1112671,,652.4819765
10-10-2025,670.1497522,671.9643973,650.916607,651.0960693,671.9643973,650.916607
29-10-2025,686.6908448,687.6679989,680.8581046,685.3648071,687.6679989,
07-11-2025,665.9421818,669.1028862,659.26197,668.9931641,,659.26197
12-11-2025,682.7724573,682.9420002,678.9438047,681.3666382,682.9420002,
21-11-2025,653.1200635,662.5920744,648.9324255,657.0883789,,648.9324255
11-12-2025,683.1214313,687.2193077,680.16015,687.1395264,687.2193077,
17-12-2025,677.8869129,678.4352803,669.2225131,669.421936,,669.2225131
26-12-2025,690.6400146,691.6599731,689.2700195,690.3099976,691.6599731,
02-01-2026,685.710022,686.8699951,679.8200073,683.1699829,,679.8200073
12-01-2026,690.6799927,696.0900269,690.6300049,695.1599731,696.0900269,
13-01-2026,695.4899902,696.0900269,691.3499756,693.7700195,696.0900269,
