Date,Open,High,Low,Close,pivot-high,pivot-low
2025-01-23,598.7685644,602.6727295,598.4918457,602.6727295,,
2025-01-24,602.7319999,603.6907726,599.756927,600.9133301,,
2025-01-27,587.9061376,592.7295011,587.7381276,592.413208,,
2025-01-28,593.6486607,598.343528,590.3177808,597.503418,,
2025-01-29,596.7126333,597.1179083,592.2648645,594.8248291,,
2025-01-30,596.9499129,599.5592248,593.7474686,598.017334,,
2025-01-31,600.4488437,602.8803126,594.0736958,594.8347778,,
2025-02-03,585.7908854,593.3224355,583.6361958,590.8317261,,583.6361958
2025-02-04,590.8910623,595.3091504,590.3474581,594.7952271,,
2025-02-05,593.668505,597.3551923,591.6324174,597.2069092,,
2025-02-06,598.9564061,599.4110887,595.6354193,599.2825928,,
2025-02-07,599.8459586,601.0715565,593.0853226,593.7969971,,
2025-02-10,597.0191605,598.4720695,595.7440947,597.8295898,,
2025-02-11,595.556266,598.8278449,595.4376637,598.2842407,,
2025-02-12,592.2451836,597.5330628,591.5631899,596.3568726,,591.5631899
2025-02-13,597.4638294,602.8604773,596.1987176,602.6528931,,
2025-02-14,602.8604957,603.8982964,602.0005985,602.623291,,
2025-02-18,603.7896117,604.3925171,601.3186289,604.3925171,,
2025-02-19,602.9989604,606.1123628,602.4849766,605.8158569,606.1123628,
2025-02-20,604.4419197,604.5803092,599.9744237,603.2954102,,
2025-02-21,603.0779732,603.2163627,592.5120474,592.9766235,,
2025-02-24,595.0324276,596.0307143,589.5665849,590.2782593,,
2025-02-25,590.2190315,590.9504328,582.7171004,587.3427734,,
2025-02-26,589.0130409,592.6206996,584.9902741,587.6391602,,
2025-02-27,589.9223642,591.0788275,577.8640174,578.2593384,,
2025-02-28,578.7635631,587.817219,575.6797809,587.2835083,,
2025-03-03,589.2601946,590.4067644,573.1691862,576.9942627,,
2025-03-04,572.9813852,578.5954508,565.607951,570.1644287,,
2025-03-05,569.9964212,578.0913632,566.4283366,576.2924805,,
2025-03-06,568.8004299,573.4359958,563.5026575,566.0626221,,
2025-03-07,564.2735986,570.6882596,559.0647481,569.2352905,,
2025-03-10,561.0021324,562.9294509,549.1414138,554.0734863,,
2025-03-11,552.9070558,557.4734265,545.6127108,549.4674072,,
2025-03-12,555.6449863,556.5740783,547.2634313,552.3833008,,
2025-03-13,552.0076609,552.6204598,543.29992,545.0197144,,543.29992
2025-03-14,549.6553412,557.2857683,545.0889694,556.2775879,,
2025-03-17,556.2576992,563.0974224,555.8228038,560.5671387,,
2025-03-18,558.2443952,558.4618731,552.5710286,554.5083008,,
2025-03-19,556.2972852,564.323032,555.1112014,560.5473633,,
2025-03-20,556.7915499,563.9475069,556.0699819,558.9264526,,
2025-03-21,554.4514053,560.0129561,553.2121974,559.1107788,,
2025-03-24,565.8719463,570.1844266,565.2771506,569.1236572,,
2025-03-25,570.3330467,571.4334488,568.7369614,570.4916992,571.4334488,
2025-03-26,570.2240858,571.3542582,562.293154,563.6810913,,
2025-03-27,562.2832555,565.9711704,560.0626042,562.1841431,,
2025-03-28,560.6475137,561.3811152,550.2777986,550.8626709,,
2025-03-31,545.0830251,555.8690968,542.1485587,554.5604858,,
2025-04-01,552.6372622,558.0798545,548.8997911,556.1268311,,
2025-04-02,550.2579079,562.5211055,550.0199897,559.6461792,,
2025-04-03,540.4037718,543.2390654,532.0664063,532.0664063,,
2025-04-04,519.1488461,521.3298644,500.6995312,500.9176331,,
2025-04-07,484.9665622,518.6531752,477.6403495,500.0254211,,477.6403495
2025-04-08,517.3544575,520.4475158,484.9367942,492.1936035,,
2025-04-09,489.1798877,543.8834839,488.7932403,543.8834839,,
2025-04-10,527.5754009,528.893935,504.9227045,520.0509644,,
2025-04-11,518.4945125,531.7986316,515.579893,529.3301392,,
2025-04-14,539.3528832,539.5809387,529.2508571,534.4654541,,
2025-04-15,535.0107183,538.5399805,532.1754248,532.9685059,,
2025-04-16,527.0896882,533.2460955,515.7980103,521.1216431,,
2025-04-17,523.0845952,526.5840872,519.3867573,521.8651733,,
2025-04-21,516.660537,517.1959137,504.0702007,509.4434204,,504.0702007
2025-04-22,515.6493364,524.730226,514.7075262,522.697937,,
2025-04-23,535.7641185,540.7209503,529.2706809,530.7973633,,
2025-04-24,532.0861983,542.7037553,530.827204,541.9701538,,
2025-04-25,541.9304442,546.2924199,538.995978,545.8859863,,
2025-04-28,546.6295538,548.7708787,540.3145545,546.0941772,,
2025-04-29,544.1709145,550.6544896,543.8140371,549.5342407,,
2025-04-30,542.8425243,551.715266,536.8447695,549.7523193,,
2025-05-01,555.5319356,559.2000031,553.0435965,553.6483154,,
2025-05-02,559.8543185,563.47283,557.5246317,561.8668213,,
2025-05-05,557.7130106,561.7578025,556.8505267,558.6448975,,
2025-05-06,553.113041,558.4862299,552.1514446,553.9755249,,
2025-05-07,555.3139314,558.9522293,551.2393694,556.3052979,,
2025-05-08,560.3599573,565.3861924,556.8505418,560.1815186,,
2025-05-09,561.5892517,562.6004648,557.9013975,559.4677734,,
2025-05-12,576.4498297,577.9666494,572.0580835,577.9567261,,
2025-05-13,578.3730585,583.9941496,577.8080328,581.7734985,,
2025-05-14,582.7351004,583.8949822,580.4846792,582.5170288,,
2025-05-15,580.5045239,585.8677897,580.0484736,585.3622437,,
2025-05-16,586.1454032,589.3673441,584.1924404,589.0699463,,
2025-05-19,583.0225711,590.3983397,583.0225711,589.7142944,590.3983397,
2025-05-20,587.9695462,588.9212192,584.5096265,587.7315674,,
2025-05-21,583.3596614,587.4639329,576.7968205,577.8278198,,
2025-05-22,577.6295674,581.5554004,576.3903593,578.0559082,,
2025-05-23,571.0071869,576.7868698,570.6304628,574.1101685,,570.6304628
2025-05-27,581.010167,586.2049177,573.4361124,586.0463257,,
2025-05-28,586.452712,587.6522872,581.9221603,582.6557617,,
2025-05-29,587.9397721,588.078578,581.0101305,584.9557495,,
2025-05-30,583.8454023,586.0264205,578.2045251,584.3014526,,
2025-06-02,582.6856189,587.6721613,580.0089171,587.5928955,,
2025-06-03,587.2259796,591.9250465,586.7401593,590.9436035,,
2025-06-04,591.8061707,592.7876139,590.3488305,590.7850342,,
2025-06-05,592.4702845,593.8284515,585.9470768,587.9298096,,
2025-06-06,593.4913881,595.6426968,591.7069407,593.9672852,,
2025-06-09,594.5422574,596.0590771,593.322896,594.5026245,,
2025-06-10,595.037937,598.2598779,593.9177486,597.873291,,
2025-06-11,598.9736747,599.8361586,594.0961689,596.1680908,599.8361586,
2025-06-12,594.8297749,598.5374756,594.344015,598.5374756,,
2025-06-13,593.3328138,596.6538672,590.3388678,591.8457642,,
2025-06-16,595.2164615,599.2314836,595.0379623,597.4767456,,
2025-06-17,595.0280706,596.5547531,591.6078443,592.3712158,,
2025-06-18,593.2733489,596.0293162,591.3203255,592.2819824,,
2025-06-20,594.9675856,596.0414436,589.4790454,590.8909912,,
2025-06-23,591.6465733,597.1152078,588.5145736,596.727478,,588.5145736
2025-06-24,600.883601,604.3834856,599.968804,603.3196411,,
2025-06-25,604.4431878,605.139208,602.0867083,603.6577148,,
2025-06-26,605.5170345,608.8181084,604.9005751,608.3806152,,
2025-06-27,609.3848675,612.8748604,607.3465704,611.4032593,,
2025-06-30,613.8591865,615.6886593,611.5325045,614.3264771,,
2025-07-01,612.8450033,615.300949,612.0098277,614.1276855,,
2025-07-02,613.7200271,616.9514932,613.093615,616.9117432,,
2025-07-03,618.9003311,622.7085066,618.8804258,621.7738647,,
2025-07-07,619.8050288,620.4712515,614.3463474,617.1403198,,
2025-07-08,617.8065574,618.562233,615.9870372,616.8023682,,
2025-07-09,619.2184771,621.1573081,617.3690382,620.5010986,,
2025-07-10,620.6402811,623.2950374,619.4570651,622.2510376,,
2025-07-11,619.1886732,621.2965786,617.9856124,620.0636597,,
2025-07-14,619.6062115,621.5948059,618.2539819,621.2468262,,
2025-07-15,623.9413645,624.2793916,618.5124803,618.592041,,
2025-07-16,620.182913,621.1672575,614.5253596,620.6601563,,614.5253596
2025-07-17,620.8391784,624.8163671,620.6204015,624.458374,,
2025-07-18,625.7111996,625.8802131,622.8874296,624.0010376,,
2025-07-21,625.1842651,627.9384271,624.7567246,625.1842651,,
2025-07-22,625.5123643,626.1387764,622.6189861,625.2737427,,
2025-07-23,627.9483363,630.5932007,626.1387083,630.5932007,,
2025-07-24,630.9809682,632.5221773,630.3744614,630.802002,,
2025-07-25,631.4682494,633.9440398,631.2196751,633.4667358,,
2025-07-28,633.8445769,634.4013809,631.9156378,633.3076782,,
2025-07-29,634.7096125,635.0277949,630.7225316,631.6372681,,
2025-07-30,632.2934319,634.0434046,627.9384055,630.8417969,,
2025-07-31,635.8132594,636.2009892,627.172815,628.4753418,636.2009892,
2025-08-01,622.7282753,622.768086,615.7582427,618.1743774,,615.7582427
2025-08-04,622.101922,627.6202594,622.0124692,627.5705566,,
2025-08-05,628.1870166,629.0023476,623.4641048,624.3887939,,
2025-08-06,625.462617,629.8275961,624.5478806,629.1713867,,
